"schema_version","schedule_id","timezone","date","date_label","date_label_en","event_id","event_order","event_type","event_type_en","start_time","end_time","location","location_en","speaker_name","speaker_name_en","speaker_bio","speaker_bio_en","title","title_en","description","description_en","photo","detail_enabled","status_override","is_visible","is_placeholder","source_note"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1000-masterclass-1","1","МАСТЕР-КЛАСС","WORKSHOP","10:00","10:45","стенд Билайна","Beeline Booth","Шейко А.","A. Sheiko","","","Контент после кнопки «сгенерировать» или как ИИ меняет правила создания контента","Beyond the Generate Button: How AI Is Changing Content Creation","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1100-session-2","2","СЕССИЯ","SESSION","11:00","12:00","стенд Билайна","Beeline Booth","Романов К.","K. Romanov","","","Бизнес без лишних рук: как расти с помощью ИИ","Growing a Business with AI Without Expanding the Team","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1215-session-3","3","СЕССИЯ","SESSION","12:15","13:15","стенд Билайна","Beeline Booth","Сергей Субботин // Валерия Орлова","Sergey Subbotin // Valeria Orlova","","","Новый e-com: не маркетплейсом единым","The New E-Commerce: Beyond Marketplaces","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1330-signing-4","4","ПОДПИСАНИЕ","SIGNING","13:30","13:45","стенд Билайна","Beeline Booth","Анохин С.","S. Anokhin","","","Подписание «Мой бизнес»","My Business Partnership Signing","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx; В источнике указано только 13:30; окончание принято равным началу следующего события."
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1345-masterclass-5","5","МАСТЕР-КЛАСС","WORKSHOP","13:45","14:30","стенд Билайна","Beeline Booth","","","","","Построение рекламных кампаний","Building Advertising Campaigns","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1445-session-6","6","СЕССИЯ","SESSION","14:45","15:45","стенд Билайна","Beeline Booth","Валерия Орлова","Valeria Orlova","","","Свое дело: какие технологии помогут женщинам / Женский бизнес via технологии","Women in Business: Technologies That Help Build Your Own Company","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1530-talk-7","7","ВЫСТУПЛЕНИЕ","TALK","15:30","16:00","Главная сцена","Main Stage","Анохин С.","S. Anokhin","","","ИИ для МСП","AI for Small and Medium-Sized Businesses","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1600-masterclass-8","8","МАСТЕР-КЛАСС","WORKSHOP","16:00","16:45","стенд Билайна","Beeline Booth","Шейко А.","A. Sheiko","","","Контент без бюджета: как ИИ меняет маркетинг для малого бизнеса","Content on a Budget: How AI Is Changing Small-Business Marketing","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-09","9 СЕНТЯБРЯ","9 SEPTEMBER","2026-09-09-1700-session-9","9","СЕССИЯ","SESSION","17:00","17:45","стенд Билайна","Beeline Booth","Шейко А.","A. Sheiko","","","Автоматизация без программиста: Воркфлоу для предпринимателя","No-Code Automation: Workflows for Entrepreneurs","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-10","10 СЕНТЯБРЯ","10 SEPTEMBER","2026-09-10-1000-masterclass-1","1","МАСТЕР-КЛАСС","WORKSHOP","10:00","11:00","стенд Билайна","Beeline Booth","Соколова А.","A. Sokolova","","","Как билайн превращает клиентские данные в решения для бизнеса","How Beeline Turns Customer Data into Business Solutions","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-10","10 СЕНТЯБРЯ","10 SEPTEMBER","2026-09-10-1115-session-2","2","СЕССИЯ","SESSION","11:15","12:00","стенд Билайна","Beeline Booth","Сергей Субботин","Sergey Subbotin","","","Удержать каждого клиента: где малый бизнес теряет деньги","Keeping Every Customer: Where Small Businesses Lose Money","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-10","10 СЕНТЯБРЯ","10 SEPTEMBER","2026-09-10-1215-session-3","3","СЕССИЯ","SESSION","12:15","13:15","стенд Билайна","Beeline Booth","Орлова В./Соколова А.","V. Orlova / A. Sokolova","","","Первые 100 клиентов: что действительно работает","The First 100 Customers: What Actually Works","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
"3.0","business","Europe/Moscow","2026-09-10","10 СЕНТЯБРЯ","10 SEPTEMBER","2026-09-10-1330-masterclass-4","4","МАСТЕР-КЛАСС","WORKSHOP","13:30","14:15","стенд Билайна","Beeline Booth","Шейко А.","A. Sheiko","","","Контент без бюджета: как ИИ меняет маркетинг для малого бизнеса","Content on a Budget: How AI Is Changing Small-Business Marketing","","","","true","","true","false","Черновое наполнение из Программа_МБФ_билайн_v2 (2).xlsx"
