"schema_version","schedule_id","timezone","date","date_label","date_label_en","event_id","event_order","event_type","event_type_en","start_time","end_time","location","location_en","speaker_name","speaker_name_en","speaker_bio","speaker_bio_en","title","title_en","description","description_en","photo","detail_enabled","status_override","is_visible","is_placeholder","source_note"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-01","1","МАСТЕР-КЛАСС","WORKSHOP","10:30","11:15","бИИ Лекторий","bAI Lecture Hall","Арсен Седиров","Arsen Sedirov","Ведущий Data Scientist Билайн AI, 5+ лет в анализе данных и ИИ, технологически лидирует направление с ИИ-агентами и ассистентами, основные фокусы: генеративный искусственный интеллект и агентные системы.","Lead Data Scientist at Beeline AI with more than five years of experience in data analytics and AI. He provides technical leadership for AI agents and assistants, focusing on generative AI and agent systems.","ИИ-инструменты для учёбы: практикум для студентов","AI Tools for Learning: A Hands-On Workshop for Students","Практикум для тех, кто хочет учиться эффективнее и тратить меньше времени на рутину. Разберём, как с помощью ИИ находить и проверять информацию из открытых источников, готовить презентации, доклады и рефераты. Никакой теории ради теории — только проверенный алгоритм работы с инструментами, который поможет уверенно выступать и сдавать качественные работы быстрее.","A practical workshop for students who want to learn more efficiently and spend less time on routine work. Participants will use AI to find and verify information from open sources and prepare presentations, reports and papers. The focus is a tested workflow that helps students present with confidence and produce stronger work faster.","public/assets/speakers/arsen-sedirov.jpg","true","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 16"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-02","2","СПЕЦПРОГРАММА","SPECIAL PROGRAM","11:30","12:10","бИИ Лекторий","bAI Lecture Hall","Татьяна Гордеева","Tatyana Gordeeva","Руководитель направления развития ИИ-решений Билайн AI, 15+ лет в продуктовой, бизнес- и data-аналитике в телеком-, FMCG- и производстве. Эксперт по переводу сложных AI-технологий в понятные бизнес-сценарии и решения для корпоративных клиентов.","Head of AI Solution Development at Beeline AI with more than 15 years of experience in product, business and data analytics across telecom, FMCG and manufacturing. She translates complex AI technologies into clear business scenarios and solutions for corporate clients.","Профессии 2030: какие навыки нужны, когда ИИ делает всё остальное","Jobs in 2030: Skills You Need When AI Does Everything Else","Искусственный интеллект уже меняет привычный рынок труда: создаёт тексты и презентации, анализирует данные, пишет код, распознаёт речь, обрабатывает документы и помогает принимать решения. Но означает ли это, что к 2030 году людям станет негде работать? Предлагаем посмотреть на этот вопрос без паники и без иллюзий. Главная идея выступления: ИИ чаще заменяет не профессию целиком, а отдельные задачи внутри неё — прежде всего повторяемые, типовые и цифровые. На примере телеком-отрасли участники увидят, как меняется работа инженера эксплуатации сети. ИИ замечает сигнал, человек понимает контекст и принимает решение. Отдельный блок будет посвящён российскому рынку труда. Участники разберут, какие роли будут особенно востребованы. Акцент будет сделан не на модных названиях должностей, а на устойчивой формуле конкурентоспособности. В выступлении будут рассмотрены пять групп навыков, которые особенно важны для студентов. Особое внимание будет уделено навыку постановки задач и тому, как стать специалистом, который умеет использовать ИИ для решения реальных проблем — и которому можно доверить итоговое решение.","Artificial intelligence is already changing the job market: it creates texts and presentations, analyses data, writes code, recognises speech, processes documents and supports decisions. Does that mean there will be no work left for people by 2030? This talk looks at the question without panic or illusions. AI usually replaces individual repetitive, standard and digital tasks rather than an entire profession. Using telecom as an example, participants will see how the work of a network operations engineer is changing: AI detects a signal, while a person understands the context and makes the decision. A separate section covers the Russian labour market, the roles likely to be in demand, and five skill groups that matter most to students. Special attention is given to defining tasks and becoming a specialist who can use AI to solve real problems and be trusted with the final decision.","public/assets/speakers/tatyana-gordeeva.jpg","true","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 17"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-03","3","ЛЕКЦИЯ","LECTURE","12:30","13:10","бИИ Лекторий","bAI Lecture Hall","Алексей Паньшин","Alexey Panshin","","","PR интеллект: душа или код? Поможет ли ИИ, если нет естественного?","PR Intelligence: Soul or Code? Can AI Help When Natural Intelligence Falls Short?","","","","false","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 18"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-04","4","ЛЕКЦИЯ","LECTURE","13:30","14:10","бИИ Лекторий","bAI Lecture Hall","Татьяна Гордеева","Tatyana Gordeeva","Руководитель направления развития ИИ-решений Билайн AI, 15+ лет в продуктовой, бизнес- и data-аналитике в телеком-, FMCG- и производстве. Эксперт по переводу сложных AI-технологий в понятные бизнес-сценарии и решения для корпоративных клиентов.","Head of AI Solution Development at Beeline AI with more than 15 years of experience in product, business and data analytics across telecom, FMCG and manufacturing. She translates complex AI technologies into clear business scenarios and solutions for corporate clients.","Где агенты действительно работают (отрасли, кейсы, задачи)","Where AI Agents Actually Work: Industries, Use Cases and Tasks","Поговорим о практике российского рынка ИИ-агентов. Успешный агент — не универсальная нейросеть, а управляемый инструмент, встроенный в конкретный бизнес-процесс; нестандартное он передаёт человеку. Разберем отличия чат-бота, RPA-робота, ИИ-ассистента и ИИ-агента. Принцип: агенты работают там, где есть поток похожих задач, понятные правила, цифровые данные, интеграции и измеримый результат. Отрасли применения: финансы (Сбер развивает 17 сервисных AI-агентов для предпринимателей), телеком, клиентский сервис, документооборот, ритейл, логистика, IT и промышленность. Чем выше цена ошибки, тем важнее участие человека. Барьеры внедрения: нет владельца процесса и KPI, слабые данные, неясные права агента, нет контроля. Слушатели получат чек-лист оценки задач для ИИ-агента. Вывод: ИИ-агент — не магия, а инструмент управляемой автоматизации, ценный лишь в понятном процессе с качественными данными и измеримым результатом.","The talk examines AI agents in the Russian market. A successful agent is not a universal neural network but a controlled tool embedded in a specific business process, with unusual cases handed over to a person. Participants will compare chatbots, RPA robots, AI assistants and AI agents. Agents work best where there is a stream of similar tasks, clear rules, digital data, integrations and a measurable result. Use cases include finance, telecom, customer service, document processing, retail, logistics, IT and manufacturing. The higher the cost of an error, the more important human involvement becomes. The session also covers implementation barriers and provides a checklist for assessing tasks suitable for an AI agent.","public/assets/speakers/tatyana-gordeeva.jpg","true","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 19"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-05","5","ЛЕКЦИЯ","LECTURE","14:30","15:10","бИИ Лекторий","bAI Lecture Hall","Ашот Оганесян","Ashot Oganesyan","","","Экзоинтеллект","Exointelligence","","","","false","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 20"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-06","6","СПЕЦПРОГРАММА","SPECIAL PROGRAM","15:30","16:10","бИИ Лекторий","bAI Lecture Hall","Лиза Алерт","LizaAlert","","","Лиза Алерт","LizaAlert","","","","false","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 21"
"3.0","youth","Asia/Yekaterinburg","2026-09-13","13 СЕНТЯБРЯ","13 SEPTEMBER","youth-2026-09-13-event-07","7","ЛЕКЦИЯ","LECTURE","16:30","17:10","бИИ Лекторий","bAI Lecture Hall","","","","","Киберволонеры","Cyber Volunteers","","","","false","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 22"
"3.0","youth","Asia/Yekaterinburg","2026-09-14","14 СЕНТЯБРЯ","14 SEPTEMBER","youth-2026-09-14-event-08","1","ЛЕКЦИЯ","LECTURE","10:30","11:10","бИИ Лекторий","bAI Lecture Hall","Алексей Паньшин","Alexey Panshin","","","PR интеллект: душа или код? Поможет ли ИИ, если нет естественного?","PR Intelligence: Soul or Code? Can AI Help When Natural Intelligence Falls Short?","","","","false","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 24"
"3.0","youth","Asia/Yekaterinburg","2026-09-14","14 СЕНТЯБРЯ","14 SEPTEMBER","youth-2026-09-14-event-09","2","МАСТЕР-КЛАСС","WORKSHOP","11:30","12:15","бИИ Лекторий","bAI Lecture Hall","Александр Шейко","Alexander Sheiko","Product Marketing Билайн AI, 5+ лет исследует, как ИИ превращает идею в контент, а контент — в бизнес-результат, эксперт по прикладному использованию ИИ.","Product Marketing specialist at Beeline AI. For more than five years, he has explored how AI turns ideas into content and content into business results. An expert in applied AI.","Контент на турбо: создаём ролики и сайты с ИИ","Content on Turbo: Creating Videos and Websites with AI","Мир меняется быстрее, чем мы успеваем заметить. В этой лекции — обзор ключевых направлений, которые уже завтра могут перевернуть нашу жизнь: от космических проектов и новых способов хранения данных до прорывов в науке и технологиях. Разговор о том, какие идеи сегодня кажутся фантастикой, а завтра станут частью реальности — и какую роль в этом сыграет искусственный интеллект.","This workshop shows how to connect neural networks into automated pipelines and create content without design or programming skills. Participants will learn to configure and edit these pipelines, moving from an idea and reference to a finished advertising video or website. It is an opportunity to see automation from the inside and build a practical example for personal projects.","public/assets/speakers/alexander-sheiko.jpg","true","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 25"
"3.0","youth","Asia/Yekaterinburg","2026-09-14","14 СЕНТЯБРЯ","14 SEPTEMBER","youth-2026-09-14-event-10","3","ЛЕКЦИЯ","LECTURE","12:30","13:10","бИИ Лекторий","bAI Lecture Hall","Арсен Седиров","Arsen Sedirov","Ведущий Data Scientist Билайн AI, 5+ лет в анализе данных и ИИ, технологически лидирует направление с ИИ-агентами и ассистентами, основные фокусы: генеративный искусственный интеллект и агентные системы.","Lead Data Scientist at Beeline AI with more than five years of experience in data analytics and AI. He provides technical leadership for AI agents and assistants, focusing on generative AI and agent systems.","ИИ как суперсила: почему поколение до 35 лет выиграет от нейросетей","AI as a Superpower: Why the Under-35 Generation Will Benefit from Neural Networks","Нейросети открывают перед молодым поколением возможности, которые раньше казались недостижимыми. Эта лекция о том, как использовать ИИ для ускорения обучения, профессионального роста, творчества и запуска собственных проектов. Поколение, выросшее с технологиями, получает естественное преимущество — и может превратить его в реальную суперсилу для достижения любых целей.","Neural networks give the younger generation opportunities that once seemed out of reach. This lecture explains how to use AI to accelerate learning, professional growth, creativity and personal projects. A generation raised with technology has a natural advantage and can turn it into a real superpower for achieving ambitious goals.","public/assets/speakers/arsen-sedirov.jpg","true","","true","false","Программа_деловая_для_Дмитрия_Бабенко.xlsx, Лист1, строка 26"
